dataset,experiment,subject,trials_per_class,mode,mean_accuracy,std_accuracy
BNCI2014_001,mu_beta_ssl,1,5,mu_beta_ssl_frozen_linear_probe,0.6749999999999999,0.0591542762195746
BNCI2014_001,mu_beta_ssl,1,10,mu_beta_ssl_frozen_linear_probe,0.6138888888888888,0.0374227599591874
BNCI2014_001,mu_beta_ssl,1,20,mu_beta_ssl_frozen_linear_probe,0.6944444444444444,0.0215165741455967
BNCI2014_001,mu_beta_ssl,1,50,mu_beta_ssl_frozen_linear_probe,0.7069444444444445,0.0092128466398761
BNCI2014_001,mu_beta_ssl,2,5,mu_beta_ssl_frozen_linear_probe,0.5208333333333333,0.021960261528947
BNCI2014_001,mu_beta_ssl,2,10,mu_beta_ssl_frozen_linear_probe,0.513888888888889,0.0210635429001432
BNCI2014_001,mu_beta_ssl,2,20,mu_beta_ssl_frozen_linear_probe,0.523611111111111,0.0246894289369877
BNCI2014_001,mu_beta_ssl,2,50,mu_beta_ssl_frozen_linear_probe,0.5208333333333333,0.0307443661405259
BNCI2014_001,mu_beta_ssl,3,5,mu_beta_ssl_frozen_linear_probe,0.6680555555555555,0.1007686508178725
BNCI2014_001,mu_beta_ssl,3,10,mu_beta_ssl_frozen_linear_probe,0.7097222222222221,0.0198373011903968
BNCI2014_001,mu_beta_ssl,3,20,mu_beta_ssl_frozen_linear_probe,0.7958333333333333,0.0208795783032956
BNCI2014_001,mu_beta_ssl,3,50,mu_beta_ssl_frozen_linear_probe,0.8402777777777779,0.0076072577431272
BNCI2014_001,mu_beta_ssl,4,5,mu_beta_ssl_frozen_linear_probe,0.5333333333333334,0.0154660121189723
BNCI2014_001,mu_beta_ssl,4,10,mu_beta_ssl_frozen_linear_probe,0.5277777777777778,0.0404927214919812
BNCI2014_001,mu_beta_ssl,4,20,mu_beta_ssl_frozen_linear_probe,0.538888888888889,0.017894581564896
BNCI2014_001,mu_beta_ssl,4,50,mu_beta_ssl_frozen_linear_probe,0.538888888888889,0.023488242396233
BNCI2014_001,mu_beta_ssl,5,5,mu_beta_ssl_frozen_linear_probe,0.5125,0.0207869854820774
BNCI2014_001,mu_beta_ssl,5,10,mu_beta_ssl_frozen_linear_probe,0.4930555555555555,0.0145667895579187
BNCI2014_001,mu_beta_ssl,5,20,mu_beta_ssl_frozen_linear_probe,0.4944444444444444,0.0268598327858523
BNCI2014_001,mu_beta_ssl,5,50,mu_beta_ssl_frozen_linear_probe,0.5055555555555555,0.0092128466398761
BNCI2014_001,mu_beta_ssl,6,5,mu_beta_ssl_frozen_linear_probe,0.5152777777777777,0.0314882890243184
BNCI2014_001,mu_beta_ssl,6,10,mu_beta_ssl_frozen_linear_probe,0.5555555555555556,0.0392837100659192
BNCI2014_001,mu_beta_ssl,6,20,mu_beta_ssl_frozen_linear_probe,0.5736111111111112,0.0299819904790595
BNCI2014_001,mu_beta_ssl,6,50,mu_beta_ssl_frozen_linear_probe,0.6208333333333333,0.0286663436674309
BNCI2014_001,mu_beta_ssl,7,5,mu_beta_ssl_frozen_linear_probe,0.5083333333333334,0.0272165526975908
BNCI2014_001,mu_beta_ssl,7,10,mu_beta_ssl_frozen_linear_probe,0.513888888888889,0.0223951604119404
BNCI2014_001,mu_beta_ssl,7,20,mu_beta_ssl_frozen_linear_probe,0.5180555555555556,0.0296585507000869
BNCI2014_001,mu_beta_ssl,7,50,mu_beta_ssl_frozen_linear_probe,0.5249999999999999,0.0128800256881884
BNCI2014_001,mu_beta_ssl,8,5,mu_beta_ssl_frozen_linear_probe,0.7194444444444443,0.102589918403441
BNCI2014_001,mu_beta_ssl,8,10,mu_beta_ssl_frozen_linear_probe,0.8013888888888889,0.0440520875754269
BNCI2014_001,mu_beta_ssl,8,20,mu_beta_ssl_frozen_linear_probe,0.8361111111111112,0.0112833866731054
BNCI2014_001,mu_beta_ssl,8,50,mu_beta_ssl_frozen_linear_probe,0.8527777777777779,0.0141639430933132
BNCI2014_001,mu_beta_ssl,9,5,mu_beta_ssl_frozen_linear_probe,0.6055555555555555,0.1393326244887161
BNCI2014_001,mu_beta_ssl,9,10,mu_beta_ssl_frozen_linear_probe,0.7194444444444444,0.0928168580366868
BNCI2014_001,mu_beta_ssl,9,20,mu_beta_ssl_frozen_linear_probe,0.6680555555555556,0.0765024408551133
BNCI2014_001,mu_beta_ssl,9,50,mu_beta_ssl_frozen_linear_probe,0.7319444444444445,0.0306186217847897
BNCI2014_001,mu_beta_ssl,1,5,mu_beta_ssl_full_finetune,0.6972222222222222,0.0279853356661248
BNCI2014_001,mu_beta_ssl,1,10,mu_beta_ssl_full_finetune,0.7763888888888888,0.0524110062892033
BNCI2014_001,mu_beta_ssl,1,20,mu_beta_ssl_full_finetune,0.8027777777777778,0.026931554763424
BNCI2014_001,mu_beta_ssl,1,50,mu_beta_ssl_full_finetune,0.8458333333333332,0.013465777381712
BNCI2014_001,mu_beta_ssl,2,5,mu_beta_ssl_full_finetune,0.5013888888888889,0.0193449837183112
BNCI2014_001,mu_beta_ssl,2,10,mu_beta_ssl_full_finetune,0.5069444444444444,0.0158357697930435
BNCI2014_001,mu_beta_ssl,2,20,mu_beta_ssl_full_finetune,0.5222222222222223,0.022566773346211
BNCI2014_001,mu_beta_ssl,2,50,mu_beta_ssl_full_finetune,0.548611111111111,0.021960261528947
BNCI2014_001,mu_beta_ssl,3,5,mu_beta_ssl_full_finetune,0.8069444444444445,0.0662312167642576
BNCI2014_001,mu_beta_ssl,3,10,mu_beta_ssl_full_finetune,0.861111111111111,0.0319746234256148
